blind_id,task_id,category,mode,run_index,correctness,factual_alignment,analytical_depth,evidence_grounding,traceability
ITEM-001,A2,A,multi_agent,2,2,,,,1
ITEM-002,B3,B,single_agent,0,,7,7,7,1
ITEM-003,B3,B,multi_agent,1,,8,8,9,2
ITEM-004,C3,C,single_agent,1,,6,7,8,1
ITEM-005,B4,B,multi_agent,0,,8,7,7,1
ITEM-006,C1,C,single_agent,0,,8,7,8,1
ITEM-007,A4,A,single_agent,0,2,,,,1
ITEM-008,C2,C,multi_agent,1,,8,8,9,2
ITEM-009,B1,B,multi_agent,2,,7,8,8,1
ITEM-010,B1,B,multi_agent,0,,9,9,9,2
ITEM-011,A1,A,single_agent,1,2,,,,1
ITEM-012,B3,B,single_agent,1,,7,7,8,1
ITEM-013,B4,B,single_agent,1,,7,8,7,1
ITEM-014,A1,A,multi_agent,2,2,,,,1
ITEM-015,B1,B,single_agent,0,,7,8,7,1
ITEM-016,C2,C,multi_agent,2,,9,8,8,1
ITEM-017,B2,B,multi_agent,1,,9,9,9,1
ITEM-018,C1,C,multi_agent,2,,8,8,8,1
ITEM-019,C1,C,single_agent,2,,8,8,7,1
ITEM-020,A3,A,single_agent,2,2,,,,1
ITEM-021,B2,B,multi_agent,2,,9,8,8,1
ITEM-022,C3,C,single_agent,2,,6,7,7,1
ITEM-023,A4,A,single_agent,1,2,,,,1
ITEM-024,C4,C,single_agent,1,,8,7,8,1
ITEM-025,C4,C,single_agent,0,,7,7,8,1
ITEM-026,B4,B,multi_agent,2,,8,9,8,1
ITEM-027,A2,A,multi_agent,1,2,,,,1
ITEM-028,C1,C,multi_agent,0,,8,8,8,1
ITEM-029,B4,B,single_agent,0,,8,8,8,1
ITEM-030,B1,B,single_agent,2,,7,8,8,1
ITEM-031,A4,A,multi_agent,2,2,,,,2
ITEM-032,C3,C,single_agent,0,,8,8,9,1
ITEM-033,A4,A,single_agent,2,2,,,,1
ITEM-034,A1,A,multi_agent,1,2,,,,1
ITEM-035,A1,A,single_agent,2,2,,,,2
ITEM-036,B3,B,multi_agent,0,,7,7,8,1
ITEM-037,B1,B,single_agent,1,,8,8,8,1
ITEM-038,C4,C,multi_agent,2,,9,8,9,1
ITEM-039,C2,C,multi_agent,0,,8,8,8,1
ITEM-040,A3,A,multi_agent,2,2,,,,2
ITEM-041,C2,C,single_agent,0,,8,8,9,1
ITEM-042,A4,A,multi_agent,1,2,,,,1
ITEM-043,C3,C,multi_agent,0,,8,8,2,1
ITEM-044,A1,A,multi_agent,0,2,,,,2
ITEM-045,B3,B,single_agent,2,,8,7,8,1
ITEM-046,A2,A,single_agent,1,2,,,,1
ITEM-047,B4,B,single_agent,2,,8,8,8,1
ITEM-048,C3,C,multi_agent,2,,8,8,8,1
ITEM-049,A3,A,multi_agent,1,2,,,,1
ITEM-050,C3,C,multi_agent,1,,8,8,8,1
ITEM-051,C1,C,single_agent,1,,8,8,8,1
ITEM-052,B2,B,single_agent,1,,8,7,8,2
ITEM-053,C2,C,single_agent,1,,8,8,8,1
ITEM-054,A1,A,single_agent,0,2,,,,1
ITEM-055,C2,C,single_agent,2,,8,8,8,1
ITEM-056,A2,A,single_agent,2,2,,,,1
ITEM-057,A3,A,single_agent,1,2,,,,1
ITEM-058,C1,C,multi_agent,1,,8,8,8,1
ITEM-059,C4,C,single_agent,2,,8,8,8,1
ITEM-060,B2,B,single_agent,2,,8,7,8,1
ITEM-061,B2,B,multi_agent,0,,8,8,9,1
ITEM-062,A2,A,multi_agent,0,2,,,,1
ITEM-063,A3,A,multi_agent,0,2,,,,2
ITEM-064,B3,B,multi_agent,2,,8,8,9,1
ITEM-065,C4,C,multi_agent,0,,8,8,8,1
ITEM-066,A2,A,single_agent,0,2,,,,1
ITEM-067,B2,B,single_agent,0,,8,7,8,1
ITEM-068,B1,B,multi_agent,1,,8,8,8,1
ITEM-069,B4,B,multi_agent,1,,7,8,8,1
ITEM-070,C4,C,multi_agent,1,,8,8,8,1
ITEM-071,A4,A,multi_agent,0,2,,,,1
ITEM-072,A3,A,single_agent,0,2,,,,1
