blind_id,task_id,category,mode,run_index,correctness,factual_alignment,analytical_depth,evidence_grounding,traceability
ITEM-001,OM-C4,C,multi_agent,2,,9,8,9,2
ITEM-002,OM-B2,B,single_agent,0,,9,6,8,2
ITEM-003,OM-B2,B,single_agent,1,,9,7,9,2
ITEM-004,OM-A1,A,single_agent,1,2,,,,1
ITEM-005,OM-B1,B,multi_agent,0,,8,8,9,1
ITEM-006,OM-A4,A,single_agent,0,2,,,,1
ITEM-007,OM-B4,B,multi_agent,0,,8,8,9,1
ITEM-008,OM-A3,A,multi_agent,1,2,,,,2
ITEM-009,OM-B4,B,single_agent,2,,8,8,8,1
ITEM-010,OM-A2,A,single_agent,0,1,,,,1
ITEM-011,OM-B1,B,single_agent,1,,8,8,9,2
ITEM-012,OM-B3,B,single_agent,1,,8,7,9,2
ITEM-013,OM-B3,B,multi_agent,1,,9,8,9,2
ITEM-014,OM-C4,C,single_agent,2,,8,8,9,2
ITEM-015,OM-A3,A,single_agent,0,2,,,,1
ITEM-016,OM-B3,B,multi_agent,2,,9,8,9,1
ITEM-017,OM-C4,C,multi_agent,1,,9,8,9,2
ITEM-018,OM-B3,B,single_agent,2,,8,8,8,1
ITEM-019,OM-B2,B,single_agent,2,,9,6,8,2
ITEM-020,OM-A4,A,single_agent,2,2,,,,1
ITEM-021,OM-B4,B,multi_agent,2,,8,9,9,1
ITEM-022,OM-A1,A,single_agent,2,2,,,,1
ITEM-023,OM-C3,C,multi_agent,1,,8,8,9,1
ITEM-024,OM-A1,A,multi_agent,1,2,,,,1
ITEM-025,OM-C3,C,multi_agent,0,,8,8,8,1
ITEM-026,OM-C1,C,multi_agent,2,,8,9,9,1
ITEM-027,OM-A4,A,multi_agent,1,2,,,,1
ITEM-028,OM-C1,C,single_agent,0,,8,8,8,1
ITEM-029,OM-B2,B,multi_agent,0,,9,7,9,2
ITEM-030,OM-A3,A,single_agent,2,2,,,,1
ITEM-031,OM-A2,A,multi_agent,2,2,,,,2
ITEM-032,OM-C3,C,single_agent,0,,6,7,8,1
ITEM-033,OM-A4,A,multi_agent,2,2,,,,2
ITEM-034,OM-A4,A,single_agent,1,1,,,,1
ITEM-035,OM-B1,B,single_agent,2,,8,8,9,1
ITEM-036,OM-B1,B,single_agent,0,,8,8,9,1
ITEM-037,OM-C1,C,single_agent,1,,8,7,8,1
ITEM-038,OM-C2,C,multi_agent,2,,9,8,9,1
ITEM-039,OM-C1,C,multi_agent,0,,9,8,9,1
ITEM-040,OM-A2,A,single_agent,2,1,,,,1
ITEM-041,OM-A4,A,multi_agent,0,2,,,,2
ITEM-042,OM-A2,A,multi_agent,1,2,,,,2
ITEM-043,OM-B3,B,single_agent,0,,8,8,9,1
ITEM-044,OM-C2,C,single_agent,0,,8,8,9,1
ITEM-045,OM-C3,C,single_agent,2,,7,8,8,1
ITEM-046,OM-B1,B,multi_agent,1,,8,8,9,1
ITEM-047,OM-C3,C,multi_agent,2,,7,8,8,1
ITEM-048,OM-C2,C,single_agent,2,,8,8,9,1
ITEM-049,OM-A2,A,single_agent,1,2,,,,1
ITEM-050,OM-B4,B,single_agent,1,,8,8,9,1
ITEM-051,OM-C2,C,single_agent,1,,8,8,9,1
ITEM-052,OM-C1,C,multi_agent,1,,8,8,8,2
ITEM-053,OM-C2,C,multi_agent,1,,9,9,9,1
ITEM-054,OM-C4,C,single_agent,0,,8,8,9,1
ITEM-055,OM-B2,B,multi_agent,2,,9,7,9,2
ITEM-056,OM-B1,B,multi_agent,2,,8,8,8,1
ITEM-057,OM-C3,C,single_agent,1,,8,8,8,1
ITEM-058,OM-A3,A,single_agent,1,2,,,,1
ITEM-059,OM-A1,A,multi_agent,2,2,,,,2
ITEM-060,OM-A3,A,multi_agent,2,2,,,,2
ITEM-061,OM-A2,A,multi_agent,0,2,,,,2
ITEM-062,OM-C2,C,multi_agent,0,,8,8,9,1
ITEM-063,OM-A1,A,single_agent,0,2,,,,1
ITEM-064,OM-C1,C,single_agent,2,,8,8,8,1
ITEM-065,OM-B3,B,multi_agent,0,,8,8,9,1
ITEM-066,OM-C4,C,multi_agent,0,,8,8,8,1
ITEM-067,OM-A3,A,multi_agent,0,2,,,,1
ITEM-068,OM-C4,C,single_agent,1,,8,8,9,1
ITEM-069,OM-B2,B,multi_agent,1,,9,7,8,1
ITEM-070,OM-B4,B,multi_agent,1,,8,8,9,1
ITEM-071,OM-A1,A,multi_agent,0,2,,,,2
ITEM-072,OM-B4,B,single_agent,0,,8,8,9,1
