blind_id,task_id,category,correctness,analytical_depth,evidence_grounding,traceability
ITEM-005,OM-B1,B,,9,8,1
ITEM-009,OM-B4,B,,8,8,2
ITEM-013,OM-B3,B,,9,9,2
ITEM-016,OM-B3,B,,8,9,2
ITEM-017,OM-C4,C,,8,8,1
ITEM-020,OM-A4,A,2,,,2
ITEM-022,OM-A1,A,2,,,2
ITEM-024,OM-A1,A,2,,,2
ITEM-029,OM-B2,B,,7,8,2
ITEM-034,OM-A4,A,2,,,2
ITEM-046,OM-B1,B,,9,9,2
ITEM-051,OM-C2,C,,9,9,2
ITEM-053,OM-C2,C,,9,9,2
ITEM-057,OM-C3,C,,9,8,2
ITEM-060,OM-A3,A,2,,,2
ITEM-064,OM-C1,C,,9,9,1
ITEM-066,OM-C4,C,,8,9,2
ITEM-071,OM-A1,A,2,,,2
